"R0000100","R0532200","R0536300","R0538700","R1201300","R1204500","R1204900","R1236201","R1302400","R1302500","U1990100","U1990700"
1,1,2,1,3,-3,-3,323197,16,8,-5,-5
2,0,1,5,-4,-4,-4,272178,17,15,-4,3
3,0,2,5,1,63000,583,169357,-3,12,16,5
4,0,2,5,3,11700,108,149099,12,12,-4,3
5,1,1,1,3,-3,-3,245150,12,12,-4,3
6,0,2,5,1,-3,-3,218371,-3,12,-4,3
7,0,1,5,1,-3,-3,232055,-3,12,-5,-5
8,1,2,1,3,-3,-3,291103,6,12,-5,-5
9,1,1,1,3,-3,-3,313027,6,12,-4,6
10,1,1,1,3,-3,-3,322580,6,12,-4,6
11,0,2,5,1,25000,198,218371,12,14,-4,5
12,0,1,5,1,0,0,262572,-3,12,15,2
13,0,1,5,-4,-4,-4,225943,-3,6,-4,2
14,1,1,5,1,0,0,277820,12,12,-4,1
15,1,2,5,-4,-4,-4,225405,13,12,-5,-5
16,0,1,5,3,13000,120,99849,10,11,15,5
17,0,2,5,1,3750,14,80825,-3,14,-5,-5
18,0,1,2,1,0,0,96678,10,15,-4,2
19,0,1,2,1,0,0,112435,10,15,-4,2
20,0,1,2,1,-3,-3,116518,10,11,-4,2
21,0,1,5,3,0,0,99849,11,13,-4,3
22,0,1,5,1,-3,-3,99849,12,11,-4,3
23,0,2,5,3,-3,-3,91807,10,10,16,5
24,0,1,5,3,-3,-3,99444,5,7,-4,1
25,1,2,5,1,0,0,99208,12,12,-4,1
26,0,1,2,1,-3,-3,125910,-3,12,-4,1
27,0,1,2,1,-3,-3,114180,8,10,-4,1
28,0,2,2,2,13000,82,110561,12,12,-4,5
29,1,2,1,2,-3,-3,270278,-3,-3,-5,-5
30,1,1,1,1,-3,-3,261824,-3,-3,-5,-5
31,1,1,4,-4,-4,-4,273066,12,12,-4,5
32,1,2,1,-4,-4,-4,253941,16,16,-4,5
33,1,2,1,1,-3,-3,314483,16,14,-4,5
34,1,2,1,2,9800,60,318843,9,16,-4,5
35,1,1,4,-4,-4,-4,277640,-3,-3,-4,5
36,1,2,1,1,40500,255,348666,16,15,16,4
37,1,2,1,1,47500,299,320649,11,-3,-4,5
38,1,2,1,1,47500,299,258920,11,-3,-4,5
39,1,1,1,3,-3,-3,108588,-3,-3,16,5
40,1,2,4,-4,-4,-4,293223,12,12,-5,-5
41,1,2,4,-4,-4,-4,275578,12,12,-4,5
42,1,1,4,-4,-4,-4,255331,-3,-3,-5,-5
43,0,2,2,1,-3,-3,97296,-4,-3,-4,3
44,1,1,2,3,0,0,100654,-3,-3,-4,3
45,0,2,2,1,-3,-3,97883,-4,8,-4,2
46,0,1,2,1,-3,-3,105822,-4,8,-5,-5
47,0,2,2,1,5500,44,102097,-4,11,-4,3
48,0,2,2,1,5500,44,96295,-4,11,-4,5
49,0,2,2,1,-3,-3,102097,-3,12,-4,3
50,0,2,2,1,-3,-3,96295,-4,12,-4,2
51,0,1,2,1,3750,20,109664,-4,12,-4,3
52,0,1,2,1,3750,20,104863,-4,12,-4,3
53,1,2,2,1,-3,-3,97883,12,12,-5,-5
54,0,2,2,1,-3,-3,97883,-4,14,16,5
55,1,2,1,1,-3,-3,76071,12,10,-4,5
56,1,2,1,1,110700,696,279754,16,18,-4,6
57,1,1,2,3,0,0,90991,12,12,-4,3
58,1,1,2,1,25500,160,104863,12,12,15,4
59,0,2,2,1,22800,181,97296,-4,16,-4,-2
60,0,1,5,3,56600,302,281400,-4,14,-5,-5
61,0,2,2,3,-3,-3,96295,12,12,14,4
62,1,1,2,1,150000,943,113580,14,14,-4,5
63,1,2,2,1,150000,943,101379,14,14,-4,5
64,1,1,2,-4,40000,317,113580,12,15,-4,5
65,1,1,2,3,-3,-3,109601,-3,95,-5,-5
66,0,1,2,2,-3,-3,113580,12,-3,-5,-5
67,0,1,2,2,-3,-3,113580,12,18,-4,7
68,0,1,2,3,-3,-3,102999,12,-4,14,4
69,1,2,2,3,-3,-3,100771,12,16,-4,6
70,1,1,2,3,-3,-3,94241,12,16,-4,5
71,0,1,2,1,26015,241,113580,14,14,-4,3
72,1,2,2,-4,-4,-4,105744,12,11,14,4
73,1,1,2,-4,-4,-4,109601,12,11,-5,-5
74,1,1,1,1,-3,-3,250421,-3,-3,-4,8
75,0,1,4,-4,-4,-4,289129,8,-3,-4,3
76,0,1,4,-4,-4,-4,289129,8,-3,-4,3
77,1,2,2,1,35500,223,102704,12,12,-5,-5
78,0,2,1,1,-3,-3,313374,-4,-3,-4,4
79,0,1,1,3,-3,-3,109775,14,11,-4,2
80,0,1,2,1,30000,188,122722,14,12,-4,1
81,0,2,2,1,4810,29,120792,12,12,-4,1
82,0,1,5,3,-3,-3,86613,-4,-3,-4,5
83,0,1,5,3,-3,-3,100654,12,6,-5,-5
84,0,2,5,3,-3,-3,83226,12,6,16,5
85,0,1,1,1,12000,75,319696,12,12,-4,3
86,1,2,1,1,-3,-3,357282,12,12,-4,6
87,1,1,1,1,42500,267,238852,14,12,-5,-5
88,1,1,1,-4,-4,-4,297457,12,12,-4,3
89,1,1,1,-4,-4,-4,268901,6,6,-4,6
90,1,1,2,2,-3,-3,237947,12,16,16,5
91,1,2,2,2,-3,-3,197891,12,16,-4,5
